LOS ANGELES LAKERS, 2, 1, 53
BOSTON CELTICS, 5, 2, 47
MIAMI HEAT, 8, 3, 44
UTAH JAZZ, 11, 4, 41
INDIANA PACERS, 14, 5, 38
WASHINGTON WIZARDS, 17, 6, 36
ATLANTA HAWKS, 20, 7, 31
CHARLOTTE HORNETS, 23, 8, 27
SACRAMENTO KINGS, 26, 9, 23
DETROIT PISTONS, 29, 10, 18
