MILWAUKEE BUCKS, 1, 1, 57
DENVER NUGGETS, 6, 2, 47
BROOKLYN NETS, 7, 3, 45
DALLAS MAVERICKS, 12, 4, 40
PHOENIX SUNS, 13, 5, 40
GOLDEN STATE WARRIORS, 18, 6, 35
NEW ORLEANS PELICANS, 19, 7, 33
MEMPHIS GRIZZLIES, 24, 8, 26
CHICAGO BULLS, 25, 9, 25
OKLAHOMA CITY THUNDER, 30, 10, 14
